2026-02-06 23:52:35.634 -05:00 [Information] DasBlog.Web.Controllers.AccountController: SecuritySuccess :: myemail@myemail.com logged in successfully :: (null)
2026-02-06 23:52:49.077 -05:00 [Information] DasBlog.Web.Controllers.BlogPostController: CommentDeleted :: Comment deleted on: 787a5e2d-22c0-459e-9d2a-2482effff2c6 :: (null)
2026-02-06 23:52:51.608 -05:00 [Information] DasBlog.Web.Controllers.BlogPostController: CommentDeleted :: Comment deleted on: 787a5e2d-22c0-459e-9d2a-2482effff2c6 :: (null)
2026-02-06 23:52:53.713 -05:00 [Information] DasBlog.Web.Controllers.BlogPostController: CommentDeleted :: Comment deleted on: 787a5e2d-22c0-459e-9d2a-2482effff2c6 :: (null)
2026-02-06 23:52:55.708 -05:00 [Information] DasBlog.Web.Controllers.BlogPostController: CommentDeleted :: Comment deleted on: 787a5e2d-22c0-459e-9d2a-2482effff2c6 :: (null)
2026-02-06 23:52:58.008 -05:00 [Information] DasBlog.Web.Controllers.BlogPostController: CommentDeleted :: Comment deleted on: 787a5e2d-22c0-459e-9d2a-2482effff2c6 :: (null)
2026-02-06 23:53:02.697 -05:00 [Information] DasBlog.Web.Controllers.BlogPostController: CommentDeleted :: Comment deleted on: 787a5e2d-22c0-459e-9d2a-2482effff2c6 :: (null)
2026-02-06 23:53:04.974 -05:00 [Information] DasBlog.Web.Controllers.BlogPostController: CommentDeleted :: Comment deleted on: 787a5e2d-22c0-459e-9d2a-2482effff2c6 :: (null)
2026-02-06 23:53:07.792 -05:00 [Information] DasBlog.Web.Controllers.BlogPostController: CommentDeleted :: Comment deleted on: 787a5e2d-22c0-459e-9d2a-2482effff2c6 :: (null)
2026-02-06 23:53:12.139 -05:00 [Information] DasBlog.Web.Controllers.BlogPostController: CommentDeleted :: Comment deleted on: 787a5e2d-22c0-459e-9d2a-2482effff2c6 :: (null)
2026-02-06 23:53:15.774 -05:00 [Information] DasBlog.Web.Controllers.BlogPostController: CommentApproved :: Comment approved on: 787a5e2d-22c0-459e-9d2a-2482effff2c6 :: (null)
2026-02-06 23:53:17.873 -05:00 [Information] DasBlog.Web.Controllers.BlogPostController: CommentApproved :: Comment approved on: 787a5e2d-22c0-459e-9d2a-2482effff2c6 :: (null)
2026-02-06 23:53:20.218 -05:00 [Information] DasBlog.Web.Controllers.BlogPostController: CommentDeleted :: Comment deleted on: 787a5e2d-22c0-459e-9d2a-2482effff2c6 :: (null)
2026-02-06 23:53:23.485 -05:00 [Information] DasBlog.Web.Controllers.BlogPostController: CommentDeleted :: Comment deleted on: 787a5e2d-22c0-459e-9d2a-2482effff2c6 :: (null)
2026-02-06 23:53:40.226 -05:00 [Information] DasBlog.Web.Controllers.AccountController: SecuritySuccess :: Admin Name logged out successfully :: (null)
